date;ref;NO2_61FD;NO2_61F0;NO2_61EF
2017-10-06 18:45:00;121.9;40.6;100.5;49.7
2017-10-06 19:00:00;114.7;42.6;95.4;54.8
2017-10-06 19:15:00;104.4;27.7;81.2;32.5
2017-10-06 19:30:00;104.5;23.3;75.1;32.5
2017-10-06 19:45:00;95.5;16.2;75.1;25.4
2017-10-06 20:00:00;93.5;24.4;73.1;25.4
2017-10-06 20:15:00;93.6;10.1;65.0;18.3
2017-10-06 20:30:00;83.4;6.1;51.8;13.2
2017-10-06 20:45:00;89.8;10.1;68.0;14.2
2017-10-06 21:00:00;79.2;3.4;43.6;5.4
2017-10-06 21:15:00;73.0;0.0;28.4;2.0
2017-10-06 21:30:00;72.4;1.0;31.5;4.1
2017-10-06 21:45:00;77.1;5.1;39.6;7.1
2017-10-06 22:00:00;74.2;1.0;25.7;2.0
2017-10-06 22:15:00;70.1;2.0;22.3;5.1
2017-10-06 22:30:00;70.8;0.0;24.4;1.0
2017-10-06 22:45:00;75.2;2.0;38.6;4.1
2017-10-06 23:00:00;66.8;0.0;20.3;2.0
2017-10-06 23:15:00;76.6;2.0;28.4;3.0
2017-10-06 23:30:00;66.3;0.0;19.3;0.0
2017-10-06 23:45:00;69.7;0.0;13.5;1.0
2017-10-07 00:00:00;50.6;0.0;4.1;0.0
2017-10-07 00:15:00;43.4;0.0;;0.0
2017-10-07 00:30:00;40.6;0.0;;0.0
2017-10-07 00:45:00;35.7;0.0;;0.0
2017-10-07 01:00:00;40.5;0.0;;0.0
2017-10-07 01:15:00;41.5;0.0;;0.0
2017-10-07 01:30:00;39.5;0.0;0.0;0.0
2017-10-07 01:45:00;35.5;0.0;0.0;0.0
2017-10-07 02:00:00;43.6;0.0;1.0;0.0
2017-10-07 02:15:00;30.8;0.0;0.0;0.0
2017-10-07 02:30:00;29.6;0.0;0.0;0.0
2017-10-07 02:45:00;27.8;0.0;0.0;0.0
2017-10-07 03:00:00;26.1;0.0;0.0;0.0
2017-10-07 03:15:00;21.8;0.0;0.0;0.0
2017-10-07 03:30:00;21.1;0.0;0.0;0.0
2017-10-07 03:45:00;23.7;0.0;0.0;0.0
2017-10-07 04:00:00;21.0;0.0;0.0;0.0
2017-10-07 04:15:00;22.3;0.0;0.0;0.0
2017-10-07 04:30:00;21.6;0.0;0.0;0.0
2017-10-07 04:45:00;20.7;0.0;0.0;0.0
2017-10-07 05:00:00;21.0;0.0;0.0;0.0
2017-10-07 05:15:00;20.9;0.0;0.0;0.0
2017-10-07 05:30:00;26.4;0.0;0.0;0.0
2017-10-07 05:45:00;32.5;0.0;1.0;0.0
2017-10-07 06:00:00;31.6;0.0;0.0;0.0
2017-10-07 06:15:00;27.4;0.0;0.0;0.0
2017-10-07 06:30:00;32.5;0.0;1.0;0.0
2017-10-07 06:45:00;41.5;0.0;2.0;0.0
2017-10-07 07:00:00;34.8;0.0;1.0;0.0
2017-10-07 07:15:00;35.1;0.0;1.0;0.0
2017-10-07 07:30:00;41.5;0.0;4.1;0.0
2017-10-07 07:45:00;29.7;0.0;5.1;0.0
2017-10-07 08:00:00;16.4;0.0;0.0;0.0
2017-10-07 08:15:00;14.7;0.0;0.0;0.0
2017-10-07 08:30:00;14.7;0.0;0.0;0.0
2017-10-07 08:45:00;17.6;0.0;2.0;0.0
2017-10-07 09:00:00;16.9;0.0;0.0;0.0
2017-10-07 09:15:00;15.9;0.0;0.0;0.0
2017-10-07 09:30:00;22.4;0.0;1.0;0.0
2017-10-07 09:45:00;24.0;0.0;6.1;0.0
2017-10-07 10:00:00;15.7;0.0;0.0;0.0
2017-10-07 10:15:00;17.6;0.0;0.0;0.0
2017-10-07 10:30:00;33.8;0.0;6.1;0.0
2017-10-07 10:45:00;51.3;0.0;12.2;0.0
2017-10-07 11:00:00;37.9;1.4;1.0;2.7
2017-10-07 11:15:00;28.1;0.0;1.0;0.0
2017-10-07 11:30:00;49.8;0.0;13.2;0.0
2017-10-07 11:45:00;37.1;0.0;5.1;0.0
2017-10-07 12:00:00;38.7;0.0;2.7;0.0
2017-10-07 12:15:00;36.0;0.0;10.1;0.0
2017-10-07 12:30:00;40.8;0.0;1.0;3.0
2017-10-07 12:45:00;44.1;2.0;1.0;4.1
2017-10-07 13:00:00;29.9;0.0;16.2;0.0
2017-10-07 13:15:00;39.2;0.0;0.0;0.0
2017-10-07 13:30:00;37.8;0.0;18.3;0.0
2017-10-07 13:45:00;22.9;0.0;9.5;0.0
2017-10-07 14:00:00;48.4;0.0;11.2;0.0
2017-10-07 14:15:00;49.0;0.0;38.6;0.0
