# date;Temp;RH;Tgrad;Patm;Pluvio
2017-10-01 16:00:00;19.9;73.3;-1.7;1014;0
2017-10-01 16:15:00;19.9;73.8;-1.7;1013.9;0
2017-10-01 16:30:00;19.7;74.8;-1.7;1013.8;0
2017-10-01 16:45:00;19.6;75.3;-1.6;1013.8;0
2017-10-01 17:00:00;19.5;75.7;-1.6;1013.9;0
2017-10-01 17:15:00;19.5;76.2;-1.5;1014.1;0
2017-10-01 17:30:00;19.4;76.3;-1.5;1014.2;0
2017-10-01 17:45:00;19.4;76.3;-1.5;1014.2;0
2017-10-01 18:00:00;19.3;76.7;-1.4;1014.1;0
2017-10-01 18:15:00;19.3;77.3;-1.4;1014.1;0
2017-10-01 18:30:00;19.3;77.3;-1.4;1014.1;0
2017-10-01 18:45:00;19.2;78.1;-1.4;1013.9;0
2017-10-01 19:00:00;19.1;79;-1.4;1014.1;0
2017-10-01 19:15:00;19.1;79.5;-1.3;1014.2;0
2017-10-01 19:30:00;18.9;80.3;-1.3;1014.1;0
2017-10-01 19:45:00;18.9;81;-1.2;1014.2;0
2017-10-01 20:00:00;18.8;81.3;-1.1;1014.2;0
2017-10-01 20:15:00;18.8;81.8;-1.2;1014.3;0
2017-10-01 20:30:00;18.8;82.3;-1.2;1014.2;0
2017-10-01 20:45:00;18.9;82.3;-1.2;1014.1;0
2017-10-01 21:00:00;18.9;82.3;-1.3;1014;0
2017-10-01 21:15:00;19;82.3;-1.3;1014;0
2017-10-01 21:30:00;19.1;82.2;-1.2;1014.1;0
2017-10-01 21:45:00;19.1;82;-1.2;1014.1;0
2017-10-01 22:00:00;19.2;82.2;-1.2;1014;0
2017-10-01 22:15:00;19.2;82.6;-1.2;1013.9;0
2017-10-01 22:30:00;19.1;83.7;-1.2;1013.8;0
2017-10-01 22:45:00;18.8;84.7;-1.1;1013.8;0
2017-10-01 23:00:00;18.7;85.5;-1.1;1013.8;0
2017-10-01 23:15:00;18.7;85.7;-1;1013.7;0
2017-10-01 23:30:00;18.6;85.8;-0.9;1013.7;0
2017-10-01 23:45:00;18.6;85.3;-0.9;1013.7;0
2017-10-02 00:00:00;18.7;85.3;-0.9;1013.8;0
2017-10-02 00:15:00;18.8;84.5;-0.9;1013.8;0
2017-10-02 00:30:00;18.8;83.7;-0.9;1013.8;0
2017-10-02 00:45:00;18.7;83.7;-0.8;1013.9;0
2017-10-02 01:00:00;18.8;83.2;-0.9;1014.1;0
2017-10-02 01:15:00;18.8;82.7;-1;1014.3;0
2017-10-02 01:30:00;18.8;81.8;-1.1;1014.4;0
2017-10-02 01:45:00;18.8;79.9;-1.2;1014.4;0
2017-10-02 02:00:00;18.8;78.5;-1.2;1014.6;0
2017-10-02 02:15:00;18.6;77;-1.3;1014.7;0
2017-10-02 02:30:00;18.3;76;-1.3;1014.6;0
2017-10-02 02:45:00;18.1;76.2;-1.3;1014.5;0
2017-10-02 03:00:00;18;76.3;-1.2;1014.6;0
2017-10-02 03:15:00;17.9;76.2;-1.3;1014.5;0
2017-10-02 03:30:00;17.8;76.3;-1.3;1014.6;0
2017-10-02 03:45:00;17.7;76.3;-1.2;1014.4;0
2017-10-02 04:00:00;17.5;76.3;-1.1;1014.3;0
2017-10-02 04:15:00;17.5;76.7;-1.2;1014.3;0
2017-10-02 04:30:00;17.5;76.7;-1.3;1014.5;0
2017-10-02 04:45:00;17.5;76.7;-1.4;1014.5;0
2017-10-02 05:00:00;17.5;76.3;-1.4;1014.6;0
2017-10-02 05:15:00;17.5;76.3;-1.4;1014.6;0
2017-10-02 05:30:00;17.5;76.3;-1.4;1014.7;0
2017-10-02 05:45:00;17.5;76.3;-1.4;1014.7;0
2017-10-02 06:00:00;17.4;76.3;-1.4;1014.7;0
2017-10-02 06:15:00;17.4;76.3;-1.4;1014.8;0
2017-10-02 06:30:00;17.4;76;-1.5;1015;0
2017-10-02 06:45:00;17.3;76.2;-1.5;1015.1;0
2017-10-02 07:00:00;17.3;75.9;-1.5;1015;0
2017-10-02 07:15:00;17.4;75.7;-1.5;1015.2;0
2017-10-02 07:30:00;17.6;75.2;-1.6;1015.5;0
2017-10-02 07:45:00;17.6;74.7;-1.6;1015.7;0.2
2017-10-02 08:00:00;17.7;74.7;-1.6;1015.7;0.1
2017-10-02 08:15:00;17.8;74.2;-1.7;1015.9;0
2017-10-02 08:30:00;17.9;73.8;-1.7;1015.8;0
2017-10-02 08:45:00;18;73.7;-1.9;1016;0
2017-10-02 09:00:00;18.3;73.3;-2;1016.2;0
2017-10-02 09:15:00;19.1;71.3;-2.2;1016.2;0
2017-10-02 09:30:00;19.4;69.7;-2.1;1016.2;0
2017-10-02 09:45:00;19.5;69;-1.8;1016.1;0
2017-10-02 10:00:00;19.4;69;-1.8;1016.2;0
2017-10-02 10:15:00;19.6;68.7;-1.9;1016.4;0
2017-10-02 10:30:00;19.6;68.9;-1.9;1016.4;0
2017-10-02 10:45:00;19.7;69.8;-1.9;1016.4;0
2017-10-02 11:00:00;19.8;69.5;-2.1;1016.5;0
2017-10-02 11:15:00;20.1;69.7;-2;1016.5;0
2017-10-02 11:30:00;20.6;69.2;-1.9;1016.5;0
2017-10-02 11:45:00;21.4;67.5;-1.8;1016.5;0.2
2017-10-02 12:00:00;22.5;64;-1.6;1016.3;0
2017-10-02 12:15:00;22.5;60.2;-1.6;1016.2;0
2017-10-02 12:30:00;21.8;59.2;-1.9;1016;0
2017-10-02 12:45:00;22.3;58.2;-1.9;1016.1;0
2017-10-02 13:00:00;21.8;58.3;-1.9;1016;0
2017-10-02 13:15:00;21.8;58.5;-2.1;1016;0
2017-10-02 13:30:00;22.4;58.3;-2.2;1016.1;0
2017-10-02 13:45:00;22.7;57.5;-2.1;1016.1;0
2017-10-02 14:00:00;22.9;57.6;-2;1016.2;0
2017-10-02 14:15:00;22.5;57.1;-1.9;1016.1;0
2017-10-02 14:30:00;21.9;58.7;-1.9;1016.1;0
2017-10-02 14:45:00;21.8;59.3;-1.9;1016;0
2017-10-02 15:00:00;21.6;60;-2;1016;0
2017-10-02 15:15:00;21.2;61.3;-1.9;1016;0.1
2017-10-02 15:30:00;21.1;62;-1.8;1015.9;0
2017-10-02 15:45:00;20.9;62.9;-1.8;1015.9;0
2017-10-02 16:00:00;20.6;63.4;-1.6;1015.8;0
2017-10-02 16:15:00;20.2;63;-1.6;1015.8;0
2017-10-02 16:30:00;20;62.3;-1.7;1015.8;0
2017-10-02 16:45:00;19.7;61.5;-1.7;1015.9;0
2017-10-02 17:00:00;19.4;62.2;-1.6;1016;0
2017-10-02 17:15:00;19.1;63.3;-1.6;1016.2;0
2017-10-02 17:30:00;18.8;64;-1.6;1016.1;0
2017-10-02 17:45:00;18.5;63.7;-1.6;1016.2;0
2017-10-02 18:00:00;18.3;63.5;-1.6;1016.4;0
2017-10-02 18:15:00;18.1;63.3;-1.6;1016.3;0
2017-10-02 18:30:00;18;62.8;-1.6;1016.4;0
2017-10-02 18:45:00;17.9;62.7;-1.5;1016.4;0
2017-10-02 19:00:00;17.8;63.7;-1.5;1016.4;0
2017-10-02 19:15:00;17.5;64.5;-1.6;1016.5;0
2017-10-02 19:30:00;17.2;67.8;-1.8;1016.7;0
2017-10-02 19:45:00;16.7;71.8;-1.8;1016.7;0
2017-10-02 20:00:00;16.3;73;-1.6;1016.8;0
2017-10-02 20:15:00;16;73.5;-1.4;1016.7;0
2017-10-02 20:30:00;15.8;75;-1.4;1016.6;0
2017-10-02 20:45:00;15.5;76.3;-1.2;1016.7;0
2017-10-02 21:00:00;15.2;78.2;-1.2;1016.7;0
2017-10-02 21:15:00;14.9;80.5;-1.2;1016.7;0
2017-10-02 21:30:00;14.6;81.7;-1.3;1016.7;0
2017-10-02 21:45:00;14.5;82.5;-1.3;1016.6;0
2017-10-02 22:00:00;14.4;82.7;-1.2;1016.5;0.1
2017-10-02 22:15:00;14.4;83;-1.3;1016.5;0.1
2017-10-02 22:30:00;14.3;83.7;-1.2;1016.4;0.1
2017-10-02 22:45:00;14.4;83.8;-1.2;1016;0.5
2017-10-02 23:00:00;14.3;84;-1.2;1016;0.4
2017-10-02 23:15:00;14.3;84.7;-1.1;1016.6;0.1
2017-10-02 23:30:00;14.2;84.8;-1.1;1016.6;0.2
2017-10-02 23:45:00;14.2;85;-1.2;1016.6;0
2017-10-03 00:00:00;14.2;85;-1.2;1016.8;0
2017-10-03 00:15:00;14.1;85;-1.1;1016.8;0
2017-10-03 00:30:00;14;84.8;-1.2;1017;0
2017-10-03 00:45:00;14;84.5;-1.2;1017.2;0
2017-10-03 01:00:00;13.8;82.7;-1.4;1017.3;0
2017-10-03 01:15:00;13.7;82.7;-1.3;1017.4;0
2017-10-03 01:30:00;13.6;82.5;-1.1;1017.3;0
2017-10-03 01:45:00;13.5;82.5;-0.7;1017.4;0
2017-10-03 02:00:00;13.3;82.7;-0.4;1017.5;0
2017-10-03 02:15:00;13;82.7;0;1017.5;0
2017-10-03 02:30:00;12.8;83.1;0.2;1017.6;0
